DOI,PMID,arXiv ID,Title,Abstract,Authors,Journal,Year
10.1145/3275219.3275230,,,Migrating Web Applications from Monolithic Structure to Microservices Architecture,"In the traditional software development and deployment, the centralized monolithic is always adopted, as the modules are tightly coupled, which caused many inconvenience in software DevOps. The modules with bottlenecks in monolithic application cannot be extend separately as the application is an integral part, and different module cannot use different technology stack. To prolong the lifecycle of the monolithic applications, its need to migrated it to microservice architecture. Due to the complex logic and large number of third party framework libraries depended, get an accurate comprehensive of the application characteristics is challenging. The existing research mostly based on the static characteristics, lack of consideration of the runtime dynamic characteristics, and the completeness and accuracy of the static analysis is inadequate. To resolve above problems, we combined static and dynamic analysis to get static structure and runtime behavior characteristics of monolithic application. We employed the coupling among functions to evaluate the degree of dependence, and through function clustering to achieve the migration of legacy monolithic applications and its data to microservices architecture. Through the empirical study of migrate the typical legacy project to microservices, it is proved that we proposed method can offer precise guidance and assistance in the migration procedure. Experiments show that the method has high accuracy and low performance cost.","Zhongshan Ren,Wei Wang,Guoquan Wu,Chushu Gao,Wei Chen,Wei Chen,Wei Chen,Wei Chen,Wei Chen,Jun Wei,Tao Huang",,2018
10.1016/j.jss.2019.02.031,,,Unsupervised learning approach for web application auto-decomposition into microservices,"Abstract   Nowadays, large monolithic web applications are manually decomposed into microservices for many reasons including adopting a modern architecture to ease maintenance and increase reusability. However, the existing approaches to refactor a monolithic application do not inherently consider the application scalability and performance. We devise a novel method to automatically decompose a monolithic application into microservices to improve the application scalability and performance. Our proposed decomposition method is based on a black-box approach that uses the application access logs and an unsupervised machine-learning method to auto-decompose the application into microservices mapped to URL partitions having similar performance and resource requirements. In particular, we propose a complete automated system to decompose an application into microservices, deploy the microservices using appropriate resources, and auto-scale the microservices to maintain the desired response time. We evaluate the proposed system using real web applications on a public cloud infrastructure. The experimental evaluation shows an improved performance of the auto-created microservices compared with the monolithic version of the application and the manually created microservices.","Muhammad Imran Abdullah,Waheed Iqbal,Abdelkarim Erradi",Journal of Systems and Software,2019
10.1007/978-3-030-33702-5_5,,,Towards Automated Microservices Extraction Using Muti-objective Evolutionary Search,"We introduce in this paper a novel approach, named MSExtractor, that formulate the microservices identification problem as a multi-objective combinatorial optimization problem to decompose a legacy application into a set of cohesive, loosely-coupled and coarse-grained services. We employ the non-dominated sorting genetic algorithm (NSGA-II) to drive a search process towards optimal microservices identification while considering structural dependencies in the source code. We conduct an empirical evaluation on a benchmark of two open-source legacy software systems to assess the efficiency of our approach. Results show that MSExtractor is able to find relevant microservice candidates and outperforms recent three state-of-the-art approaches.","Islem Saidani,Ali Ouni,Mohamed Wiem Mkaouer,Mohamed Wiem Mkaouer,Aymen Saied",,2019
10.1109/ms.2016.64,,,Microservices Architecture Enables DevOps: Migration to a Cloud-Native Architecture,"When DevOps started gaining momentum in the software industry, one of the first service-based architectural styles to be introduced, be applied in practice, and become popular was microservices. Migrating monolithic architectures to cloud-native architectures such as microservices reaps many benefits, such as adaptability to technological changes and independent resource management for different system components. This article reports on experiences and lessons learned during incremental migration and architectural refactoring of a commercial MBaaS (mobile back end as a service) to microservices. It explains how adopting DevOps facilitated a smooth migration. Furthermore, the researchers transformed their experiences in different projects into reusable migration practices, resulting in microservices migration patterns. This article is part of a theme issue on DevOps. The Web extra at https://youtu.be/MF3-dKTCQ88 is an audio recording of Brian Brannon speaking with author Pooyan Jamshidi and James Lewis, principal engineer at ThoughtWorks, about DevOps and microservices architecture.","Armin Balalaie,Abbas Heydarnoori,Pooyan Jamshidi",IEEE Software,2016
10.1109/hpcsim.2016.7568389,,,The ENTICE approach to decompose monolithic services into microservices,"Cloud computing has enabled elastic and on-demand service provisioning to achieve more efficient resource utilisation and quicker responses to varying application loads. Virtual machines, the building blocks of clouds, can be created using provider specific templates stored in proprietary repositories, which may lead to provider lock-in and decreased portability. Despite these enabling technologies, large scale service oriented applications are still mostly inelastic. Such applications often use monolithic services that limit the elasticity (e.g., by obstructing the replicability of parts of a monolithic service). Decomposing these services (leading to smaller, more targeted and more modular services) would open towards elasticity, but the decomposition process is mostly manual. This paper introduces a methodology for decomposing monolithic services to several so called microservices. The proposed methodology applies several outcomes of the ENTICE project (namely its image synthesis and optimisation tools). Finally, the paper provides insights on how these outcomes help revitalise past monolithic services, and what techniques are applied to aid future microservice developers.","Gabor Kecskemeti,Attila Csaba Marosi,Attila Kertesz",,2016
10.1109/ms.2018.2141035,,,Using Microservices for Legacy Software Modernization,"Microservices are commonly known as an architecture for building scalable applications running in the cloud. However, they also promise high maintainability due to smaller code bases and strong component separation, making them an interesting option for software modernization. This article presents a migration process to decompose an existing application into microservices, and presents experiences from applying this process in an ongoing legacy modernization project.","Holger Knoche,Wilhelm Hasselbring",IEEE Software,2018
10.1002/spe.2608,,,Microservices migration patterns,,"Armin Balalaie,Abbas Heydarnoori,Pooyan Jamshidi,Damian A. Tamburri,Theo Lynn,Theo Lynn",Software - Practice and Experience,2018
10.1007/978-3-030-29983-5_17,,,Tool Support for the Migration to Microservice Architecture: An Industrial Case Study,"With the introduction of microservice architecture, many investigate how to migrate their legacy systems into this architectural paradigm. The migration process requires the recovery of the project architecture to be migrated together with the knowledge necessary to understand how to decompose the code and obtain new microservices. At the moment, this process is realized mostly manually. This paper introduces an approach to identify candidate microservices in monolithic Java projects, implemented in a tool named Arcan and the validation of the approach in an industrial setting. The approach involves static analysis of the system architecture, architectural smell detection and topic detection, a text mining method used here to model software domains starting from code analysis. We report the feedbacks we get from an experienced industrial developer who carried out the migration described in the case study. From this collaboration with industry we collected useful information to enhance the approach, improve the tool and replicate the study.","Ilaria Pigazzini,Francesca Arcelli Fontana,Andrea Maggioni",,2019
10.1007/978-3-319-33313-7_15,,1507.08217,Migrating to Cloud-Native Architectures Using Microservices: An Experience Report,"Migration to the cloud has been a popular topic in industry and academia in recent years. Despite many benefits that the cloud presents, such as high availability and scalability, most of the on-premise application architectures are not ready to fully exploit the benefits of this environment, and adapting them to this environment is a non-trivial task. Microservices have appeared recently as novel architectural styles that are native to the cloud. These cloud-native architectures can facilitate migrating on-premise architectures to fully benefit from the cloud environments because non-functional attributes, like scalability, are inherent in this style. The existing approaches on cloud migration does not mostly consider cloud-native architectures as their first-class citizens. As a result, the final product may not meet its primary drivers for migration. In this paper, we intend to report our experience and lessons learned in an ongoing project on migrating a monolithic on-premise software architecture to microservices. We concluded that microservices is not a one-fit-all solution as it introduces new complexities to the system, and many factors, such as distribution complexities, should be considered before adopting this style. However, if adopted in a context that needs high flexibility in terms of scalability and availability, it can deliver its promised benefits.","Armin Balalaie,Abbas Heydarnoori,Pooyan Jamshidi",arXiv: Software Engineering,2015
10.1109/tsc.2014.2310195,,,Cohesion-Driven Decomposition of Service Interfaces without Access to Source Code,"Software cohesion concerns the degree to which the elements of a module belong together. Cohesive software is easier to understand, test and maintain. In the context of service-oriented development, cohesion refers to the degree to which the operations of a service interface belong together. In the state of the art, software cohesion is improved based on refactoring methods that rely on information, extracted from the software implementation. This is a main limitation towards using these methods in the case of web services: web services do not expose their implementation; instead all that they export is the web service interface specification. To deal with this problem, we propose an approach that enables the cohesion-driven decomposition of service interfaces, without information on how the services are implemented. Our approach progressively decomposes a given service interface into more cohesive interfaces; the backbone of the approach is a suite of cohesion metrics that rely on information, extracted solely from the specification of the service interface. We validate the approach in 22 real-world services, provided by Amazon and Yahoo. We assess the effectiveness of the proposed approach, concerning the cohesion improvement, and the number of interfaces that result from the decomposition of the examined interfaces. Moreover, we show the usefulness of the approach in a user study, where developers assessed the quality of the produced interfaces.","Dionysis Athanasopoulos,Apostolos Zarras,George Miskos,Valérie Issarny,Panos Vassiliadis",IEEE Transactions on Services Computing,2015
10.5220/0005785501370146,,,Microservices: A Systematic Mapping Study,"Microservices have recently emerged as an architectural style, addressing how to build, manage, and evolve

architectures out of small, self-contained units. Particularly in the cloud, the microservices architecture approach

seems to be an ideal complementation of container technology at the PaaS level However, there is

currently no secondary study to consolidate this research. We aim here to identify, taxonomically classify and

systematically compare the existing research body on microservices and their application in the cloud. We

have conducted a systematic mapping study of 21 selected studies, published over the last two years until end

of 2015 since the emergence of the microservices pattern. We classified and compared the selected studies

based on a characterization framework. This results in a discussion of the agreed and emerging concerns

within the microservices architectural style, positioning it within a continuous development context, but also

moving it closer to cloud and container technology.","Claus Pahl,Pooyan Jamshidi",,2016
10.1109/icsaw.2017.35,,,From Monolith to Microservices: Lessons Learned on an Industrial Migration to a Web Oriented Architecture,"MGDIS SA is a software editing company that underwent a major strategic and technical change during the past three years, investing 17 300 man. Days rewriting its core business software from monolithic architecture to a Web Oriented Architecture using microservices. The paper presents technical lessons learned during and from this migration by addressing three crucial questions for a successful context-adapted migration towards a Web Oriented Architecture: how to determine (i) the most suitable granularity of micro-services, (ii) the most appropriate deployment and (iii) the most efficient orchestration?","Jean-Philippe Gouigoux,Jean-Philippe Gouigoux,Dalila Tamzalit",,2017
10.1109/mcc.2017.4250931,,,"Processes, Motivations, and Issues for Migrating to Microservices Architectures: An Empirical Investigation","Microservices have been getting more and more popular in recent years, and several companies are migrating monolithic applications to microservices. Microservices allow developers to independently develop and deploy services, and ease the adoption of agile processes. However, many companies are still hesitant to migrate because they consider microservice as a hype or because they are not aware of the migration process and the benefits and issues related to migration. For this purpose, we conducted a survey among experienced practitioners who already migrated their monoliths to microservices. In this paper, we identify a process framework based on the comparison of three different migration processes adopted by the interviewed practitioners, together with the common motivations and issues that commonly take place during migrations. In this work, we describe the results and provide an analysis of our survey, which includes a comparison of the migration processes, a ranking of motivations, and issues and some insights into the benefits achieved after the adoption. Maintainability and scalability were consistently ranked as the most important motivations, along with a few other technical and nontechnical motivations. Although return on investment was expected to take longer, the reduced maintenance effort in the long run was considered to highly compensate for this.","Davide Taibi,Valentina Lenarduzzi,Claus Pahl",,2017
10.1109/iccitechn.2017.8281804,,,A probabilistic approach for obtaining an optimized number of services using weighted matrix and multidimensional scaling Md. Shamim Towhid,"While migrating from Monolith to Microservices architectural style, it is often confusing to define service boundaries. This paper describes a probabilistic technique to define the services on a Monolithic system considering three major aspects — update rate, scaling rate, and technology diversity necessary to realize each service properly. To do so, we have used the weighted matrix and Multidimensional Scaling (MDS). This technique helps to define an optimal number of services for implementing the system in the Microservices Architecture. This paper will be useful for organizations trying to migrate from Monolithic System to Microservices.","Anika Sayara,Md. Shahriar Hossain",,2017
10.1145/3242163.3242164,,,Migrating towards microservices: migration and architecture smells,"Migrating to microservices is an error-prone process with deep pitfalls resulting in high costs for mistakes. Microservices is a relatively new architectural style, resulting in the lack of general guidelines for migrating monoliths towards microservices. We present 9 common pitfalls in terms of bad smells with their potential solutions. Using these bad smells, pitfalls can be identified and corrected in the migration process.","Andrés Carrasco,Brent van Bladel,Serge Demeyer",,2018
10.5220/0007732101340146,,,Migration of Software Components to Microservices: Matching and Synthesis,"Nowadays more and more software companies, as well as individual software developers, adopt the microservice architecture for their software solutions. Although many software systems are being designed and developed from scratch, a significant number of existing monolithic solutions tend to be transformed to this new architectural style. What is less common, though, is how to migrate component-based software systems to systems composed of microservices and enjoy the benefits of ease of changes, rapid deployment and versatile architecture. This paper proposes a novel and integrated process for the decomposition of existing software components with the aim being to fully or partially replace their functional parts with by a number of suitable and available microservices. The proposed process is built on semi-formal profiling and utilizes ontologies to match between properties of the decomposed functions of the component and those offered by microservices residing in a repository. Matching concludes with recommended solutions yielded by multi-objective optimization which considers also possible dependencies between the functional parts.","Andreas Christoforou,Lambros Odysseos,Andreas S. Andreou",,2019
10.1007/978-3-030-49432-2_7,,1908.08513,A Decomposition and Metric-Based Evaluation Framework for Microservices,"Migrating from monolithic systems into microservice is a very complex task. Companies are commonly decomposing the monolithic system manually, analyzing dependencies of the monolith and then assessing different decomposition options. The goal of our work is two-folded: 1) we provide a microservice measurement framework to objectively evaluate and compare the quality of microservices-based systems; 2) we propose a decomposition system based on business process mining. The microservice measurement framework can be applied independently from the decomposition process adopted, but is also useful to continuously evaluate the architectural evolution of a system. Results show that the decomposition framework helps companies to easily identify the different decomposition options. The measurement framework can help to decrease the subjectivity of the decision between different decomposition options and to evaluate architectural erosion in existing systems.","Davide Taibi,Kari Systä",arXiv: Software Engineering,2019
10.4018/ijssmet.298677,,,A Comparative Study of Meta-Data Based Microservice Extraction Tools,"Microservices are state-of-the-art architectural patterns for developing highly resilient and scalable applications to be hosted on the web. One of the tedious and challenging aspects on applying microservice pattern is the process of transforming legacy ""monolithic"" software to microservices. This process, named microservice extraction, is mostly done manually because of its complicated nature and the need for domain expertise. In this study, meta-data driven tools that aim to perform automatic extraction of microservices are focused. Initially, the studies that perform automatic microservice extraction are reviewed to identify public meta-data based tools. Afterwards, the identified tools are investigated by their relative success in extracting microservices. Reviewed tools suffer over-decomposition during extraction and most of them fail to provide a mature basis when considered to exhibit practical value to be used in real-world cases.","Kerem Akkaya,Tolga Ovatman","International Journal of Service Science, Management, Engineering, and Technology",2022
10.1109/saner50967.2021.00042,,,A Multi-Criteria Strategy for Redesigning Legacy Features as Microservices: An Industrial Case Study,"Microservices are small and autonomous services that communicate through lightweight protocols. Companies have often been adopting microservices to incrementally redesign legacy systems as part of a modernization process. Microservices promote better reuse and customization of existing features while increasing business capabilities, if appropriate design decisions are made. There are some partially-automated approaches supporting the re-design of legacy features into microservices. However, they fail in covering two key aspects: (i) provide an architectural design of the features being redesigned, and (ii) simultaneously support relevant criteria, e.g., feature modularization and decrease of network communication overhead. Also, these two aspects tend to be poorly discussed along industrial case studies. To fulfill these gaps, we propose a redesign strategy to support the re-engineering of features legacy code as microservices. This strategy covers key possibly-conflicting criteria on microservice-based architectures. We employ search-based optimization to deal with such conflicting criteria. The output of the strategy is a set of redesign candidates of legacy features as microservices. We reflect upon the benefits and drawbacks of the proposed strategy through an industrial case study. In particular, we perform an in-depth analysis of the resulting microservice candidates, and a discussion about their potential for customization and reuse. The reflections/discussions are also supported by observations of developers involved in the process.","Wesley K. G. Assunção,Wesley K. G. Assunção,Thelma Elita Colanzi,Luiz Carvalho,Juliana Alves Pereira,Juliana Alves Pereira,Alessandro Garcia,Maria Julia de Lima,Carlos José Pereira de Lucena",,2021
10.1002/spe.3081,,,A service graph based extraction of microservices from monolith services of service‐oriented architecture,"Service-oriented architecture (SOA) has been widely used to design enterprise applications in the past two decades. The services in SOA are becoming complex with the increase in changing user requirements and SOA is still seen as monolithic from a deployment perspective. Monolithic services make the application complex, and it becomes difficult to maintain. With the evolution of microservices architecture, software architects started migrating legacy applications to microservices. However, existing migration approaches in the literature mostly focus on migrating monolithic applications to microservices. To the best of our knowledge, very few works have been done in migrating SOA applications to microservices. One of the major challenges in the migration process is the extraction of microservices from the existing legacy applications. To address this, we propose an approach to extract the candidate microservices using graph based algorithms. In particular, four algorithms are defined: (i) construction of service graph (SG), (ii) construction of task graph (TG) for each service of the a SOA application, (iii) extraction of candidate microservices using the SG of SOA application, and (iv) construction of a SG for a microservices application to retain the dependencies between the generated microservices. We chose a SOA-based web application to demonstrate the proposed microservices extraction approach and extracted the microservices. Additionally, we have evaluated the extracted microservices and compared them with SOA based services.","Vinay Raj,Sadam Ravichandra",Software - Practice and Experience,2022
10.1145/3468264.3473915,,,Mono2Micro: a practical and effective tool for decomposing monolithic Java applications to microservices,"In migrating production workloads to cloud, enterprises often face the daunting task of evolving monolithic applications toward a microservice architecture. At IBM, we developed a tool called Mono2Micro to assist with this challenging task. Mono2Micro performs spatio-temporal decomposition, leveraging well-defined business use cases and runtime call relations to create functionally cohesive partitioning of application classes. Our preliminary evaluation of Mono2Micro showed promising results.   How well does Mono2Micro perform against other decomposition techniques, and how do practitioners perceive the tool? This paper describes the technical foundations of Mono2Micro and presents results to answer these two questions. To answer the first question, we evaluated Mono2Micro against four existing techniques on a set of open-source and proprietary Java applications and using different metrics to assess the quality of decomposition and tool’s efficiency. Our results show that Mono2Micro significantly outperforms state-of-the-art baselines in specific metrics well-defined for the problem domain. To answer the second question, we conducted a survey of twenty-one practitioners in various industry roles who have used Mono2Micro. This study highlights several benefits of the tool, interesting practitioner perceptions, and scope for further improvements. Overall, these results show that Mono2Micro can provide a valuable aid to practitioners in creating functionally cohesive and explainable microservice decompositions.","Anup K. Kalia,Jin Xiao,Rahul Krishna,Rahul Krishna,Saurabh Sinha,Maja Vukovic,Debasish Banerjee",,2021
10.1007/978-3-031-11513-4_7,,,Materializing Microservice-oriented Architecture from Monolithic Object-oriented Source Code,"AbstractFollowing the evolution of Cloud Computing and Service-Oriented Architecture (SOA), microservices (MS) have naturally emerged as the next trend due to the advantages they provide. These advantages include increased maintainability, better scalability, and an overall better synergy with DevOps techniques. This makes migrating legacy software towards a microservice-oriented architecture (MSA) an attractive prospect for organizations. The migration process is a complex and consequently risky endeavor that can be decomposed into two phases (1) the microservice-based architecture recovery phase and (2) the transformation (i.e. materialization) phase. Several studies have been done to automate the microservice architecture recovery phase. However, to the best of our knowledge, no work has been completed to automate the transformation phase. In this paper, we propose a systematic approach to refactor the existing code of an object-oriented monolithic application towards an MS-oriented one by using the target architecture from the recovery phase as a guide. By defining and applying a set of transformation patterns, we are able to generate a set of deployable microservices. Finally, we validate our approach by automating it through our tool MonoToMicro, and we apply it to a set of monolithic Java applications to generate a set of MSAs.KeywordsMicroservicesMonolithModernizationReverse engineeringRefactoringTransformationSoftware architecture","Pascal Zaragoza,Abdelhak-Djamel Seriai,Abderrahmane Seriai,Anas Shatnawi,Hinde-Lilia Bouziane,Mustapha Derras",Communications in computer and information science,2022
10.1016/j.jss.2020.110868,,,A taxonomy of service identification approaches for legacy software systems modernization,"Abstract   The success of modernizing legacy software systems to Service-Oriented Architecture (SOA) depends on Service Identification Approaches (SIAs), which identify reusable functionalities that could become services. The literature describes several SIAs. However, the selection of an identification approach that is suitable for a practitioner is difficult because it depends on several factors, including the goal of modernization, the available legacy artifacts, the organization’s development process, the desired output, and the usability of the approach. Accordingly, to select a suitable service identification approach, a practitioner must have a comprehensive view of existing techniques.  We report a systematic literature review (SLR) that covers 41 SIAs based on software-systems analyses. Based on this SLR, we create a taxonomy of SIAs and build a multi-layer classification of existing identification approaches. We start from a high-level classification based on the used inputs, the applied processes, the given outputs, and the usability of the SIAs. We then divide each category into a fine-grained taxonomy that helps practitioners in selecting a suitable approach for identifying services in legacy software systems. We build our SLR based on our experience with legacy software modernization, on discussions and experiences working with industrial partners, and analyses of existing SIAs. We validate the correctness and the coverage of our review with industrial experts who modernize(d) legacy software systems to SOA. The results show that our classification conforms to the industrial experts’ experiences. We also show that most of the studied SIAs are still at their infancy. Finally, we identify the main challenges that SIAs need to address, to improve their quality.","Manel Abdellatif,Manel Abdellatif,Anas Shatnawi,Hafedh Mili,Naouel Moha,Naouel Moha,Ghizlane El Boussaidi,Geoffrey Hecht,Jean Privat,Yann-Gaël Guéhéneuc",Journal of Systems and Software,2021
10.1007/s10664-020-09910-y,,,Promises and challenges of microservices: an exploratory study,"Microservice-based architecture is a SOA-inspired principle of building complex systems as a composition of small, loosely coupled components that communicate with each other using language-agnostic APIs. This architectural principle is now becoming increasingly popular in industry due to its advantages, such as greater software development agility and improved scalability of deployed applications. In this work, we aim at collecting and categorizing best practices, challenges, and some existing solutions for these challenges employed by practitioners successfully developing microservice-based applications for commercial use. Specifically, we focus our study on “mature” teams developing microservice-based applications for at least two years, explicitly excluding “newcomers” to the field. We conduct a broad, mixed-method study that includes in-depth interviews with 21 practitioners and a follow-up online survey with 37 respondents, covering 37 companies in total. Our study shows that, in several cases, practitioners opt to deviate from the “standard” advice, e.g., instead of splitting microservices by business capabilities, they focus on resource consumption and intended deployment infrastructure. Some also choose to refrain from using multiple programming languages for implementing their microservices, as that practice hinders reuse opportunities. In fact, our study participants identified robust and shared infrastructural support established early on in the development process as one of the main factors contributing to their success. They also identified several pressing challenges related to the efficient managing of common code across services and the support of product variants. The results of our study can benefit practitioners who are interested to learn from each other, borrow successful ideas, and avoid common mistakes. It can also inform researchers and inspire novel solutions to some of the identified challenges.","Yingying Wang,Harshavardhan Kadiyala,Julia Rubin",Empirical Software Engineering,2021
10.1016/j.jss.2021.111061,,,"Design, monitoring, and testing of microservices systems: The practitioners’ perspective","Context: Microservices Architecture (MSA) has received significant attention in the software industry. However, little empirical evidence exists on design, monitoring, and testing of microservices systems. Objective: This research aims to gain a deep understanding of how microservices systems are designed, monitored, and tested in the industry. Method: A mixed-methods study was conducted with 106 survey responses and 6 interviews from microservices practitioners. Results: The main findings are: (1) a combination of domain-driven design and business capability is the most used strategy to decompose an application into microservices, (2) over half of the participants used architecture evaluation and architecture implementation when designing microservices systems, (3) API gateway and Backend for frontend patterns are the most used MSA patterns, (4) resource usage and load balancing as monitoring metrics, log management and exception tracking as monitoring practices are widely used, (5) unit and end-to-end testing are the most used testing strategies, and (6) the complexity of microservices systems poses challenges for their design, monitoring, and testing, for which there are no dedicated solutions. Conclusions: Our findings reveal that more research is needed to (1) deal with microservices complexity at the design level, (2) handle security in microservices systems, and (3) address the monitoring and testing challenges through dedicated solutions.","Muhammad Waseem,Peng Liang,Peng Liang,Mojtaba Shahin,Amleto Di Salle,Gaston Marquez",Journal of Systems and Software,2021
,,,The Migration Journey Towards Microservices.,,"Hamdy Michael Ayas,Philipp Leitner,Regina Hebig",,2021
10.1016/j.jss.2020.110710,,,Does Migrate a Monolithic System to Microservices Decrease the Technical Debt,"Abstract   Background:  The migration from a monolithic system to microservices requires a deep refactoring of the system. Therefore, such a migration usually has a big economic impact and companies tend to postpone several activities during this process, mainly to speed up the migration itself, but also because of the demand for releasing new features.    Objective:  We monitored the technical debt of an SME while it migrated from a legacy monolithic system to an ecosystem of microservices. Our goal was to analyze changes in the code technical debt before and after the migration to microservices.    Method:  We conducted a case study analyzing more than four years of the history of a twelve-year-old project (280K Lines of Code) where two teams extracted five business processes from the monolithic system as microservices. For the study, we first analyzed the technical debt with SonarQube and then performed a qualitative study with company members to understand the perceived quality of the system and the motivation for possibly postponed activities.    Results:  The migration to microservices helped to reduce the technical debt in the long run. Despite an initial spike in the technical debt due to the development of the new microservice, after a relatively short period of time the technical debt tended to grow slower than in the monolithic system.","Valentina Lenarduzzi,Francesco Lomio,Nyyti Saarimäki,Davide Taibi",Journal of Systems and Software,2020
10.1109/icsa47634.2020.00023,,,From Monolithic Architecture Style to Microservice one Based on a Semi-Automatic Approach,"Due to its tremendous advantages, microservice architectural style has become an essential element for the development of applications deployed on the cloud and for those adopting the DevOps practices. Nevertheless, while microservices can be used to develop new applications, there are monolithic ones, that are not well adapted neither to the cloud nor to DevOps. Migrating these applications towards microservices appears as a solution to adapt them to both. In this context, we propose an approach aiming to achieve this objective by focusing on the step of microservices identification. The proposed identification, in this paper, is based on an analysis of the relationships between source code elements, their relationships with the persistent data manipulated in this code and finally the knowledge, often partial, of the architect concerning the system to migrate. A function that measures the quality of a microservice based on its ability to provide consistent service and its interdependence with others microservice in the resulting architecture was defined. Moreover, the architect recommendations are used, when available, to guide the identification process. The conducted experiment shows the relevance of the obtained microservices by our approach.","Anfel Selmadji,Abdelhak-Djamel Seriai,Hinde Lilia Bouziane,Rahina Oumarou Mahamane,Pascal Zaragoza,Christophe Dony",,2020
10.5753/eres.2020.13736,,,Towards a Process for Migrating Legacy Systems into Microservice Architectural Style,"Microservice architectural style is a paradigm to develop systems as a suite of small and autonomous services, communicating thought a lightweight protocol. Currently, the most common way of adopting microservice architectures is by the modernization of legacy monolith systems. The migration of a legacy system into a microservice architecture is not a trivial task. In addition, there is a lack of recommendation or guidelines on how to perform such process. In view of this, this paper presents a preliminary process for conducting the migration of legacy systems into microservice architectures. This process was defined by analyzing and discussing pieces of work on the topic. As result, we propose a process composed of eight steps, grouped in four phases, which we describe together with their common input and output.","Daniele Wolfart,Ederson Schmeing,Gustavo Cesar Lopes Geraldino,Guilherme Villaca,Diogo Paza,Diogo Paganini,Wesley K. G. Assunção,Wesley K. G. Assunção,Ivonei Freitas da Silva,Ivonei Freitas da Silva,Victor Francisco Araya Santander",,2020
10.1007/s10723-022-09624-z,,,Building a Performance Efficient Core Banking System Based on the Microservices Architecture,,"Fikri Aydemir,Fatih Başçiftçi",Journal of Grid Computing,2022
10.1007/s42979-021-00825-z,,,Applying Model-Driven Engineering to Stimulate the Adoption of DevOps Processes in Small and Medium-Sized Development Organizations,"Purpose: Microservice Architecture (MSA) denotes an increasingly popular architectural style in which business capabilities are wrapped into autonomously developable and deployable software components called microservices. Microservice applications are developed by multiple DevOps teams each owning one or more services. In this article, we explore the state of how DevOps teams in small and medium-sized organizations (SMOs) cope with MSA and how they can be supported. 
Methods: We show through a secondary analysis of an exploratory interview study comprising six cases, that the organizational and technological complexity resulting from MSA poses particular challenges for small and medium-sized organizations (SMOs). We apply Model-Driven Engineering to address these challenges. 
Results: As results of the second analysis, we identify the challenge areas of building and maintaining a common architectural understanding, and dealing with deployment technologies. To support DevOps teams of SMOs in coping with these challenges, we present a model-driven workflow based on LEMMA - the Language Ecosystem for Modeling Microservice Architecture. To implement the workflow, we extend LEMMA with the functionality to (i) generate models from API documentation; (ii) reference remote models owned by other teams; (iii) generate deployment specifications; and (iv) generate a visual representation of the overall architecture. 
Conclusion: We validate the model-driven workflow and our extensions to LEMMA through a case study showing that the added functionality to LEMMA can bring efficiency gains for DevOps teams. To develop best practices for applying our workflow to maximize efficiency in SMOs, we plan to conduct more empirical research in the field in the future.","Jonas Sorgalla,Philip Wizenty,Florian Rademacher,Sabine Sachweh,Albert Zündorf",,2021
10.1145/3336294.3336319,,,Extraction of Configurable and Reusable Microservices from Legacy Systems: An Exploratory Study,"Microservices is an emerging industrial technique to promote better modularization and management of small and autonomous services. Microservice architecture is widely used to overcome the limitations of monolithic legacy systems, such as limited maintainability and reusability. Migration to a microservice architecture is increasingly becoming the focus of academic research. However, there is little knowledge on how microservices are extracted from legacy systems in practice. Among these limitations, there is a lack of understanding if variability is considered useful along the microservice extraction from a configurable system. In order to address this gap, we performed an exploratory study composed of two phases. Firstly, we conducted an online survey with 26 specialists that contributed to the migration of existing systems to a microservice architecture. Secondly, we performed individual interviews with seven survey participants. A subset of the participants (13 out of 26) dealt with systems with variability during the extraction, which stated that variability is a key criterion for structuring the microservices. Moreover, variability in the legacy system is usually implemented with simple mechanisms. Finally, initial evidence points out that microservices extraction can increase software customization.","Luiz Carvalho,Alessandro Garcia,Wesley K. G. Assunção,Rodrigo Bonifácio,Leonardo P. Tizzei,Thelma Elita Colanzi",,2019
10.1145/3368089.3417933,,,Mono2Micro: an AI-based toolchain for evolving monolithic enterprise applications to a microservice architecture,"Mono2Micro is an AI-based toolchain that provides recommendations for decomposing legacy web applications into microservice partitions. Mono2Micro consists of a set of tools that collect static and runtime information from a monolithic application and process the information using an AI-based technique to generate recommendations for partitioning the application classes. Each partition represents a candidate microservice or a grouping of classes with similar business functionalities. Mono2Micro takes a temporo-spatial clustering approach to compute meaningful and explainable partitions. It generates two types of partition recommendations. First, it computes business-logic-seams-based partitions that represent a desired encapsulation of business functionalities. However, such a recommendation may cut across data dependencies between classes, accommodating which could require significant application updates. To address this, Mono2Micro computes natural-seams-based partitions, which respect data dependencies. We describe the set of tools that comprise Mono2Micro and illustrate them using a well-known open-source JEE application.","Anup K. Kalia,Jin Xiao,Chen Lin,Chen Lin,Saurabh Sinha,John J. Rofrano,Maja Vukovic,Debasish Banerjee",,2020
